,name,affiliation,homepage,scholarid,citedby,Research Interests,Google Scholar Link,url_picture
500,Ales Horák,Masaryk University,https://www.muni.cz/en/people/1648,lBJuYA8AAAAJ,1143,"['Natural Language Processing', 'Computational Linguistics', 'Information Retrieval', 'Artificial Intelligence']",https://scholar.google.com/citations?user=lBJuYA8AAAAJ&hl=en,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=lBJuYA8AAAAJ&citpid=1
501,Ales Leonardis,University of Birmingham,https://www.birmingham.ac.uk/staff/profiles/computer-science/leonardis-ales.aspx,BEFl4j0AAAAJ,13513,"['Computer vision', 'Cognitive vision']",https://scholar.google.com/citations?user=BEFl4j0AAAAJ&hl=en,
502,Alessandra Cavarra,University of Oxford,http://www.cs.ox.ac.uk/people/alessandra.cavarra,NOSCHOLARPAGE,,,,
503,Alessandra Gorla,IMDEA Software Institute,http://software.imdea.org/~alessandra.gorla,6uUwTrwAAAAJ,4047,"['Software Engineering', 'Software Testing', 'Mobile apps', 'Android']",https://scholar.google.com/citations?user=6uUwTrwAAAAJ&hl=en,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=6uUwTrwAAAAJ&citpid=2
504,Alessandra Russo,Imperial College London,http://www.imperial.ac.uk/people/a.russo,_6zceo4AAAAJ,4317,"['Artificial Intelligence', 'Inductive Logic Programming', 'Symbolic Machine Learning', 'Distributed Inference', 'Software Engineering']",https://scholar.google.com/citations?user=_6zceo4AAAAJ&hl=en,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=_6zceo4AAAAJ&citpid=1
505,Alessandra Scafuro,North Carolina State University,http://www.ascafuro.com,gM1DWK8AAAAJ,913,['Cryptography'],https://scholar.google.com/citations?user=gM1DWK8AAAAJ&hl=en,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=gM1DWK8AAAAJ&citpid=1
506,Alessandro Abate,University of Oxford,https://www.cs.ox.ac.uk/people/alessandro.abate,yskbfM4AAAAJ,4390,"['Formal Verification', 'Control Theory', 'Stochastic Hybrid Systems', 'Cyber-Physical Systems', 'Energy']",https://scholar.google.com/citations?user=yskbfM4AAAAJ&hl=en,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=yskbfM4AAAAJ&citpid=2
507,Alessandro Acquisti,Carnegie Mellon University,http://www.heinz.cmu.edu/~acquisti,2XCryp4AAAAJ,27922,"['privacy', 'economics', 'behavioral economics', 'social networks', 'social media']",https://scholar.google.com/citations?user=2XCryp4AAAAJ&hl=en,
508,Alessandro Barenghi,Politecnico di Milano,http://home.deib.polimi.it/barenghi,UdTX7n0AAAAJ,2243,"['Applied Cryptography', 'Computer Security', 'Formal Languages']",https://scholar.google.com/citations?user=UdTX7n0AAAAJ&hl=en,
509,Alessandro Biondi,Scuola Superiore Sant'Anna,http://retis.sssup.it/~a.biondi,j8JFI7UAAAAJ,715,"['real-time systems', 'embedded systems']",https://scholar.google.com/citations?user=j8JFI7UAAAAJ&hl=en,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=j8JFI7UAAAAJ&citpid=4
510,Alessandro Bozzon,TU Delft,http://www.wis.ewi.tudelft.nl/bozzon,402ZM7UAAAAJ,2626,"['Human-Centered AI', 'Crowd Computing', 'Human Computation', 'Crowdsourcing', 'Web Data Management']",https://scholar.google.com/citations?user=402ZM7UAAAAJ&hl=en,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=402ZM7UAAAAJ&citpid=10
511,Alessandro Bruni,IT University of Copenhagen,https://pure.itu.dk/portal/en/persons/alessandro-bruni(5c50bbc9-ed3d-417f-ba4d-e484eaf536b3).html,lbZ6n5IAAAAJ,20670,"['Formal Verification', 'Model Checking', 'SMT', 'Planning', 'FDIR']",https://scholar.google.com/citations?user=lbZ6n5IAAAAJ&hl=en,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=lbZ6n5IAAAAJ&citpid=2
512,Alessandro Campi,Politecnico di Milano,http://home.deib.polimi.it/campi,NOSCHOLARPAGE,,,,
513,Alessandro Chiesa,Univ. of California - Berkeley,https://people.eecs.berkeley.edu/~alexch,rW1Bio0AAAAJ,4810,"['Cryptography', 'Complexity Theory', 'Security']",https://scholar.google.com/citations?user=rW1Bio0AAAAJ&hl=en,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=rW1Bio0AAAAJ&citpid=2
514,Alessandro E. C. Redondi,Politecnico di Milano,http://home.deib.polimi.it/redondi,8ka5NmUAAAAJ,1343,"['Network Data Analysis', 'Internet of Things', 'Wireless Networks']",https://scholar.google.com/citations?user=8ka5NmUAAAAJ&hl=en,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=8ka5NmUAAAAJ&citpid=4
515,Alessandro Enrico Cesare Redondi,Politecnico di Milano,http://home.deib.polimi.it/redondi,8ka5NmUAAAAJ,1343,"['Network Data Analysis', 'Internet of Things', 'Wireless Networks']",https://scholar.google.com/citations?user=8ka5NmUAAAAJ&hl=en,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=8ka5NmUAAAAJ&citpid=4
516,Alessandro Enrico Redondi,Politecnico di Milano,http://home.deib.polimi.it/redondi,8ka5NmUAAAAJ,1343,"['Network Data Analysis', 'Internet of Things', 'Wireless Networks']",https://scholar.google.com/citations?user=8ka5NmUAAAAJ&hl=en,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=8ka5NmUAAAAJ&citpid=4
517,Alessandro F. Garcia 0001,PUC-RIO,http://www.inf.puc-rio.br/~afgarcia,rP1LYboAAAAJ,9122,['Software Engineering'],https://scholar.google.com/citations?user=rP1LYboAAAAJ&hl=en,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=rP1LYboAAAAJ&citpid=2
518,Alessandro Fabricio Garcia,PUC-RIO,http://www.inf.puc-rio.br/~afgarcia,rP1LYboAAAAJ,9122,['Software Engineering'],https://scholar.google.com/citations?user=rP1LYboAAAAJ&hl=en,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=rP1LYboAAAAJ&citpid=2
519,Alessandro Flammini,Indiana University,http://cnets.indiana.edu/aflammin,aOzxhScAAAAJ,17255,"['computational social science', 'network science', 'data science']",https://scholar.google.com/citations?user=aOzxhScAAAAJ&hl=en,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=aOzxhScAAAAJ&citpid=2
520,Alessandro Garcia,PUC-RIO,http://www.inf.puc-rio.br/~afgarcia,rP1LYboAAAAJ,9122,['Software Engineering'],https://scholar.google.com/citations?user=rP1LYboAAAAJ&hl=en,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=rP1LYboAAAAJ&citpid=2
521,Alessandro L. Koerich,ETS Montreal,http://etsmtl.ca/Professeurs/akoerich/Home,kaUy9GEAAAAJ,3202,"['Big Data Analytics', 'Machine Learning', 'Computer Vision', 'Music Information Retrieval', 'Affective Computing']",https://scholar.google.com/citations?user=kaUy9GEAAAAJ&hl=en,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=kaUy9GEAAAAJ&citpid=7
